data,data_prev,codigo,valor,atencao,alerta,inundacao,unidade,qualityVerified,cod,dt,cota
2024-12-20 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,355.78607177734375,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-20,235.0
2024-12-21 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,341.6552734375,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-21,229.0
2024-12-22 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,343.6912841796875,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-22,230.0
2024-12-23 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,370.3810119628906,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-23,240.0
2024-12-24 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,450.23236083984375,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-24,269.0
2024-12-25 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,550.3323974609375,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-25,303.0
2024-12-26 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,649.0054931640625,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-26,333.0
2024-12-27 00:00:00+00:00,2024-12-21 12:51:32.754178+00:00,hybas_6121241700,673.8059692382812,1344.794677734375,1852.5074462890625,2478.46923828125,CUBIC_METERS_PER_SECOND,False,56719998,2024-12-27,341.0
2024-12-20 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,188.62066650390625,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-20,312.0
2024-12-21 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,178.38938903808594,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-21,306.0
2024-12-22 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,180.40243530273438,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-22,307.0
2024-12-23 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,209.5025634765625,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-23,325.0
2024-12-24 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,245.61077880859375,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-24,346.0
2024-12-25 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,311.7428894042969,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-25,382.0
2024-12-26 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,382.8591003417969,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-26,415.0
2024-12-27 00:00:00+00:00,2024-12-21 13:53:35.791908+00:00,hybas_6121240820,412.5984191894531,766.3109130859375,1028.3243408203125,1293.9404296875,CUBIC_METERS_PER_SECOND,False,56825000,2024-12-27,428.0
2024-12-20 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,79.32349395751953,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-20,148.0
2024-12-21 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,78.92764282226562,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-21,148.0
2024-12-22 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,77.17741394042969,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-22,145.0
2024-12-23 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,77.94773864746094,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-23,146.0
2024-12-24 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,82.51719665527344,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-24,152.0
2024-12-25 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,97.82490539550781,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-25,172.0
2024-12-26 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,119.01689147949219,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-26,197.0
2024-12-27 00:00:00+00:00,2024-12-21 13:17:08.066881+00:00,hybas_6120679490,138.8408203125,330.3439636230469,483.9070129394531,681.7198486328125,CUBIC_METERS_PER_SECOND,False,56891900,2024-12-27,218.0
2024-12-21 00:00:00+00:00,2024-12-21 14:19:16.477679+00:00,hybas_6120685700,609.2973022460938,2142.2333984375,2867.48388671875,3718.861572265625,CUBIC_METERS_PER_SECOND,False,56850000,2024-12-21,202.0
